Data from HR2B7661_17-27-50-505.txt Node
Date: Mon Jan 30 17:27:50 CST 2023
User: spa576
Spectrometer: HR2B766
Scans to average: 1
Trigger mode: 4
Integration Time (sec): 5.000000E-1
Electric dark correction enabled: true
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 2048
>>>>>Begin Spectral Data<<<<<
344.843	-147
345.071	-4
345.299	0
345.526	0
345.754	-3
345.982	2
346.21	5
346.438	14
346.666	10
346.894	8
347.121	4
347.349	12
347.577	11
347.805	10
348.033	28
348.261	10
348.489	28
348.716	12
348.944	6
349.172	10
349.4	2
349.628	8
349.856	10
350.083	14
350.311	10
350.539	8
350.767	10
350.995	11
351.223	8
351.45	10
351.678	7
351.906	13
352.134	18
352.362	10
352.589	9
352.817	11
353.045	10
353.273	12
353.501	13
353.728	16
353.956	16
354.184	11
354.412	18
354.639	8
354.867	13
355.095	19
355.323	9
355.55	11
355.778	9
356.006	7
356.234	11
356.462	9
356.689	18
356.917	12
357.145	32
357.373	11
357.6	8
357.828	18
358.056	14
358.283	11
358.511	12
358.739	12
358.967	11
359.194	10
359.422	11
359.65	18
359.878	11
360.105	6
360.333	10
360.561	173
360.788	9
361.016	18
361.244	10
361.471	9
361.699	17
361.927	10
362.155	15
362.382	14
362.61	14
362.838	12
363.065	12
363.293	18
363.521	8
363.748	6
363.976	9
364.204	11
364.431	11
364.659	171
364.887	12
365.114	12
365.342	12
365.569	14
365.797	8
366.025	21
366.252	9
366.48	18
366.708	24
366.935	11
367.163	25
367.391	12
367.618	16
367.846	38
368.073	12
368.301	12
368.529	15
368.756	11
368.984	9
369.211	28
369.439	12
369.667	12
369.894	15
370.122	15
370.349	13
370.577	15
370.805	14
371.032	11
371.26	10
371.487	15
371.715	14
371.942	10
372.17	14
372.398	16
372.625	10
372.853	10
373.08	8
373.308	15
373.535	9
373.763	12
373.99	14
374.218	13
374.445	14
374.673	14
374.901	11
375.128	12
375.356	11
375.583	14
375.811	130
376.038	14
376.266	13
376.493	13
376.721	17
376.948	9
377.176	13
377.403	17
377.631	13
377.858	14
378.086	11
378.313	23
378.541	14
378.768	18
378.996	21
379.223	15
379.45	13
379.678	11
379.905	13
380.133	13
380.36	18
380.588	13
380.815	17
381.043	15
381.27	10
381.498	18
381.725	12
381.952	14
382.18	13
382.407	13
382.635	12
382.862	9
383.09	10
383.317	18
383.544	19
383.772	12
383.999	13
384.227	12
384.454	32
384.681	16
384.909	8
385.136	14
385.364	18
385.591	19
385.818	12
386.046	17
386.273	32
386.5	14
386.728	15
386.955	12
387.183	12
387.41	11
387.637	11
387.865	11
388.092	10
388.319	12
388.547	22
388.774	13
389.001	9
389.229	11
389.456	10
389.683	28
389.911	13
390.138	14
390.365	12
390.593	18
390.82	12
391.047	15
391.275	10
391.502	14
391.729	18
391.956	9
392.184	8
392.411	12
392.638	16
392.866	12
393.093	44
393.32	9
393.547	13
393.775	15
394.002	14
394.229	25
394.456	14
394.684	12
394.911	19
395.138	19
395.365	12
395.593	19
395.82	15
396.047	8
396.274	12
396.502	21
396.729	15
396.956	10
397.183	10
397.41	18
397.638	11
397.865	18
398.092	12
398.319	12
398.547	6
398.774	22
399.001	22
399.228	16
399.455	14
399.682	10
399.91	11
400.137	15
400.364	14
400.591	10
400.818	7
401.045	14
401.273	14
401.5	14
401.727	13
401.954	19
402.181	12
402.408	14
402.635	12
402.863	12
403.09	12
403.317	14
403.544	19
403.771	18
403.998	12
404.225	8
404.452	12
404.68	12
404.907	10
405.134	13
405.361	12
405.588	16
405.815	6
406.042	15
406.269	27
406.496	13
406.723	16
406.95	16
407.177	14
407.405	14
407.632	12
407.859	17
408.086	18
408.313	15
408.54	8
408.767	10
408.994	16
409.221	16
409.448	15
409.675	25
409.902	12
410.129	19
410.356	19
410.583	18
410.81	8
411.037	12
411.264	17
411.491	12
411.718	14
411.945	14
412.172	12
412.399	15
412.626	16
412.853	12
413.08	17
413.307	15
413.534	18
413.761	17
413.988	14
414.215	15
414.442	14
414.669	11
414.896	13
415.122	8
415.349	11
415.576	14
415.803	15
416.03	15
416.257	12
416.484	13
416.711	14
416.938	18
417.165	12
417.392	12
417.619	17
417.845	10
418.072	8
418.299	17
418.526	19
418.753	16
418.98	15
419.207	22
419.434	6
